reaction,name,lb,ub
FORt2,Formate transport in via proton symport,0.0,1000.0
FPRA,R01195,0.0,1000.0
FTCD,Formimidoyltransferase cyclodeaminase reversible,0.0,1000.0
FTHFD,Formyltetrahydrofolate deformylase,0.0,1000.0
FTHFLi,Formate-tetrahydrofolate ligase,0.0,1000.0
FUMAC,Fumarylacetoacetase,0.0,1000.0
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD ,-1000.0,1000.0
G3PT,Glycerol-3-phosphatase,0.0,1000.0
G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),0.0,1000.0
G5SD,Glutamate-5-semialdehyde dehydrogenase,0.0,1000.0
GALKr,Galactokinase,-1000.0,1000.0
GALT,Galactose 1 phosphate uridylyltransferase,-1000.0,1000.0
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),0.0,1000.0
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,-1000.0,1000.0
GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),0.0,1000.0
GARFT,Phosphoribosylglycinamide formyltransferase,-1000.0,1000.0
GART,GAR transformylase-T,0.0,1000.0
GCALDD,Glycolaldehyde dehydrogenase,0.0,1000.0
GD3P2,GD3P2,0.0,1000.0
GDPDPK,GDP diphosphokinase,0.0,1000.0
GDPMNP,GDP-mannose phyrophosphatase,0.0,1000.0
GDPTPDP,Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,0.0,1000.0
GK1,Guanylate kinase (GMP:ATP),-1000.0,1000.0
GK2,Guanylate kinase  GMPdATP ,-1000.0,1000.0
GLYCL,Glycine Cleavage System,0.0,1000.0
GLYCLTDx,Glycolate dehydrogenase (NAD),0.0,1000.0
GLYCLTDy,Glycolate dehydrogenase (NADP),0.0,1000.0
GLYCL_2,"Glycine cleavage system, cytosol",0.0,1000.0
GLYO1,Glycine oxidase,0.0,1000.0
GRTT,Geranyltranstransferase,0.0,1000.0
GTHOr,Glutathione oxidoreductase,-1000.0,1000.0
GTHPi,Glutathione peridoxase,0.0,1000.0
GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase",0.0,1000.0
GTPDPK_1,ATP:GTP 3'-diphosphotransferase,0.0,1000.0
GTPHs,GTP amine hydrolysis (spontaneous),0.0,1000.0
GUACYC,Guanylate cyclase,0.0,1000.0
GUAPRT,Guanine phosphoribosyltransferase,0.0,1000.0
GUAt2r,Guanine reversible transport via proton symport,0.0,1000.0
H2SO,Hydrogen sulfide oxidation,0.0,1000.0
HACD1i,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),0.0,1000.0
HEMEti,Heme transport via ABC system,0.0,1000.0
HEX4,Hexokinase (D-mannose:ATP),0.0,1000.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,0.0,1000.0
HISTP,Histidinol-phosphatase,0.0,1000.0
HMGCOAS,Hydroxymethylglutaryl CoA synthase,-1000.0,0.0
HMGL_2,HMGL_2,0.0,1000.0
HXAND,Hypoxanthine dehydrogenase,0.0,1000.0
HXANt2r,Hypoxanthine reversible transport via proton symport,0.0,1000.0
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),0.0,1000.0
HYPOE,Hypothetical enyme,0.0,1000.0
HYXNt,Hypoxanthine transport,-1000.0,1000.0
ICDHx,Isocitrate dehydrogenase (NAD),-1000.0,1000.0
ICDHyr,Isocitrate dehydrogenase (NADP),-1000.0,1000.0
IGPDH,Imidazoleglycerol-phosphate dehydratase,0.0,1000.0
IMPC,IMP cyclohydrolase,-1000.0,1000.0
INOSTO,Myo-Inositol:oxygen oxidoreductase,-1000.0,1000.0
IPDDI,Isopentenyl-diphosphate D-isomerase,-1000.0,1000.0
IPMD,3-isopropylmalate dehydrogenase,0.0,1000.0
IPPMIa,3-isopropylmalate dehydratase,-1000.0,1000.0
